id,id2,v1,c1,v2,v3
1,1,426,1,23.2,2015-02-04 17:51:00
1,1,426,1,23.2,2015-02-04 17:51:00
2,2,429.5,1,23.1,2015-02-04 17:51:59
2,2,429.5,1,23.1,2015-02-04 17:51:59
3,3,426,1,23.1,2015-02-04 17:53:00
3,3,426,1,23.1,2015-02-04 17:53:00
4,4,426,1,23.1,2015-02-04 17:54:00
4,4,426,1,23.1,2015-02-04 17:54:00
5,5,426,1,23.1,2015-02-04 17:55:00
5,5,426,1,23.1,2015-02-04 17:55:00
6,6,419,1,23.1,2015-02-04 17:55:59
6,6,419,1,23.1,2015-02-04 17:55:59
7,7,419,1,23.1,2015-02-04 17:57:00
7,7,419,1,23.1,2015-02-04 17:57:00
8,8,419,1,23.1,2015-02-04 17:57:59
8,8,419,1,23.1,2015-02-04 17:57:59
9,9,419,1,23.1,2015-02-04 17:58:59
9,9,419,1,23.1,2015-02-04 17:58:59
10,10,419,1,23.1,2015-02-04 18:00:00
10,10,419,1,23.1,2015-02-04 18:00:00
11,11,419,1,23.1,2015-02-04 18:01:00
11,11,419,1,23.1,2015-02-04 18:01:00
12,12,419,1,23.1,2015-02-04 18:02:00
12,12,419,1,23.1,2015-02-04 18:02:00
13,13,419,1,23.1,2015-02-04 18:03:00
13,13,419,1,23.1,2015-02-04 18:03:00
14,14,419,1,23.1,2015-02-04 18:04:00
14,14,419,1,23.1,2015-02-04 18:04:00
15,15,419,1,23,2015-02-04 18:04:59
15,15,419,1,23,2015-02-04 18:04:59
16,16,418.5,1,23,2015-02-04 18:06:00
16,16,418.5,1,23,2015-02-04 18:06:00
17,17,0,0,23,2015-02-04 18:07:00
17,17,0,0,23,2015-02-04 18:07:00
18,18,0,0,22.9,2015-02-04 18:08:00
18,18,0,0,22.9,2015-02-04 18:08:00
19,19,0,0,22.9,2015-02-04 18:08:59
19,19,0,0,22.9,2015-02-04 18:08:59
20,20,0,0,22.9,2015-02-04 18:10:00
20,20,0,0,22.9,2015-02-04 18:10:00
21,21,0,0,22.9,2015-02-04 18:10:59
21,21,0,0,22.9,2015-02-04 18:10:59
22,22,0,0,22.9,2015-02-04 18:11:59
22,22,0,0,22.9,2015-02-04 18:11:59
23,23,0,0,22.9,2015-02-04 18:13:00
23,23,0,0,22.9,2015-02-04 18:13:00
24,24,0,0,22.9,2015-02-04 18:14:00
24,24,0,0,22.9,2015-02-04 18:14:00
25,25,0,0,22.9,2015-02-04 18:15:00
25,25,0,0,22.9,2015-02-04 18:15:00
26,26,0,0,22.8,2015-02-04 18:16:00
26,26,0,0,22.8,2015-02-04 18:16:00
27,27,0,0,22.8,2015-02-04 18:16:59
27,27,0,0,22.8,2015-02-04 18:16:59
28,28,0,0,22.8,2015-02-04 18:17:59
28,28,0,0,22.8,2015-02-04 18:17:59
29,29,0,0,22.8,2015-02-04 18:19:00
29,29,0,0,22.8,2015-02-04 18:19:00
30,30,0,0,22.7,2015-02-04 18:20:00
30,30,0,0,22.7,2015-02-04 18:20:00
31,31,0,0,22.7,2015-02-04 18:21:00
31,31,0,0,22.7,2015-02-04 18:21:00
32,32,0,0,22.7,2015-02-04 18:22:00
32,32,0,0,22.7,2015-02-04 18:22:00
33,33,0,0,22.7,2015-02-04 18:23:00
33,33,0,0,22.7,2015-02-04 18:23:00
34,34,0,0,22.7,2015-02-04 18:23:59
34,34,0,0,22.7,2015-02-04 18:23:59
35,35,0,0,22.7,2015-02-04 18:24:59
35,35,0,0,22.7,2015-02-04 18:24:59
36,36,0,0,22.6,2015-02-04 18:26:00
36,36,0,0,22.6,2015-02-04 18:26:00
37,37,0,0,22.6,2015-02-04 18:27:00
37,37,0,0,22.6,2015-02-04 18:27:00
38,38,0,0,22.6,2015-02-04 18:28:00
38,38,0,0,22.6,2015-02-04 18:28:00
39,39,0,0,22.6,2015-02-04 18:29:00
39,39,0,0,22.6,2015-02-04 18:29:00
40,40,0,0,22.6,2015-02-04 18:29:59
40,40,0,0,22.6,2015-02-04 18:29:59
41,41,0,0,22.6,2015-02-04 18:30:59
41,41,0,0,22.6,2015-02-04 18:30:59
42,42,0,0,22.6,2015-02-04 18:32:00
42,42,0,0,22.6,2015-02-04 18:32:00
43,43,0,0,22.6,2015-02-04 18:33:00
43,43,0,0,22.6,2015-02-04 18:33:00
44,44,0,0,22.5,2015-02-04 18:34:00
44,44,0,0,22.5,2015-02-04 18:34:00
45,45,0,0,22.5,2015-02-04 18:35:00
45,45,0,0,22.5,2015-02-04 18:35:00
46,46,0,0,22.5,2015-02-04 18:36:00
46,46,0,0,22.5,2015-02-04 18:36:00
47,47,0,0,22.5,2015-02-04 18:36:59
47,47,0,0,22.5,2015-02-04 18:36:59
48,48,0,0,22.4,2015-02-04 18:38:00
48,48,0,0,22.4,2015-02-04 18:38:00
49,49,0,0,22.5,2015-02-04 18:39:00
49,49,0,0,22.5,2015-02-04 18:39:00
50,50,0,0,22.4,2015-02-04 18:40:00
50,50,0,0,22.4,2015-02-04 18:40:00
51,51,0,0,22.4,2015-02-04 18:40:59
51,51,0,0,22.4,2015-02-04 18:40:59
52,52,0,0,22.4,2015-02-04 18:42:00
52,52,0,0,22.4,2015-02-04 18:42:00
53,53,0,0,22.4,2015-02-04 18:42:59
53,53,0,0,22.4,2015-02-04 18:42:59
54,54,0,0,22.4,2015-02-04 18:43:59
54,54,0,0,22.4,2015-02-04 18:43:59
55,55,0,0,22.4,2015-02-04 18:45:00
55,55,0,0,22.4,2015-02-04 18:45:00
56,56,0,0,22.4,2015-02-04 18:46:00
56,56,0,0,22.4,2015-02-04 18:46:00
57,57,0,0,22.3,2015-02-04 18:47:00
57,57,0,0,22.3,2015-02-04 18:47:00
58,58,0,0,22.4,2015-02-04 18:48:00
58,58,0,0,22.4,2015-02-04 18:48:00
59,59,0,0,22.4,2015-02-04 18:49:00
59,59,0,0,22.4,2015-02-04 18:49:00
60,60,0,0,22.3,2015-02-04 18:49:59
60,60,0,0,22.3,2015-02-04 18:49:59
61,61,0,0,22.3,2015-02-04 18:51:00
61,61,0,0,22.3,2015-02-04 18:51:00
62,62,0,0,22.3,2015-02-04 18:52:00
62,62,0,0,22.3,2015-02-04 18:52:00
63,63,0,0,22.4,2015-02-04 18:53:00
63,63,0,0,22.4,2015-02-04 18:53:00
64,64,0,0,22.3,2015-02-04 18:53:59
64,64,0,0,22.3,2015-02-04 18:53:59
65,65,0,0,22.3,2015-02-04 18:55:00
65,65,0,0,22.3,2015-02-04 18:55:00
66,66,0,0,22.3,2015-02-04 18:55:59
66,66,0,0,22.3,2015-02-04 18:55:59
67,67,0,0,22.3,2015-02-04 18:56:59
67,67,0,0,22.3,2015-02-04 18:56:59
68,68,0,0,22.3,2015-02-04 18:58:00
68,68,0,0,22.3,2015-02-04 18:58:00
69,69,0,0,22.3,2015-02-04 18:59:00
69,69,0,0,22.3,2015-02-04 18:59:00
70,70,0,0,22.3,2015-02-04 19:00:00
70,70,0,0,22.3,2015-02-04 19:00:00
71,71,0,0,22.3,2015-02-04 19:01:00
71,71,0,0,22.3,2015-02-04 19:01:00
72,72,0,0,22.3,2015-02-04 19:01:59
72,72,0,0,22.3,2015-02-04 19:01:59
73,73,0,0,22.3,2015-02-04 19:02:59
73,73,0,0,22.3,2015-02-04 19:02:59
74,74,0,0,22.2,2015-02-04 19:04:00
74,74,0,0,22.2,2015-02-04 19:04:00
75,75,0,0,22.2,2015-02-04 19:05:00
75,75,0,0,22.2,2015-02-04 19:05:00
76,76,0,0,22.2,2015-02-04 19:06:00
76,76,0,0,22.2,2015-02-04 19:06:00
77,77,0,0,22.2,2015-02-04 19:07:00
77,77,0,0,22.2,2015-02-04 19:07:00
78,78,0,0,22.2,2015-02-04 19:08:00
78,78,0,0,22.2,2015-02-04 19:08:00
79,79,0,0,22.2,2015-02-04 19:08:59
79,79,0,0,22.2,2015-02-04 19:08:59
80,80,0,0,22.2,2015-02-04 19:09:59
80,80,0,0,22.2,2015-02-04 19:09:59
81,81,0,0,22.2,2015-02-04 19:11:00
81,81,0,0,22.2,2015-02-04 19:11:00
82,82,0,0,22.2,2015-02-04 19:12:00
82,82,0,0,22.2,2015-02-04 19:12:00
83,83,0,0,22.2,2015-02-04 19:13:00
83,83,0,0,22.2,2015-02-04 19:13:00
84,84,0,0,22.1,2015-02-04 19:14:00
84,84,0,0,22.1,2015-02-04 19:14:00
85,85,0,0,22.2,2015-02-04 19:14:59
85,85,0,0,22.2,2015-02-04 19:14:59
86,86,0,0,22.1,2015-02-04 19:15:59
86,86,0,0,22.1,2015-02-04 19:15:59
87,87,0,0,22.2,2015-02-04 19:17:00
87,87,0,0,22.2,2015-02-04 19:17:00
88,88,0,0,22.1,2015-02-04 19:18:00
88,88,0,0,22.1,2015-02-04 19:18:00
89,89,0,0,22.1,2015-02-04 19:19:00
89,89,0,0,22.1,2015-02-04 19:19:00
90,90,0,0,22.1,2015-02-04 19:20:00
90,90,0,0,22.1,2015-02-04 19:20:00
